epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,display_species,genus_confirmed
butyricum,,,,,Clostridium,Clostridium butyricum,0.0471493062059194,RF,Riboflavin,C00255,Clostridium butyricum,False
forsythia_A,,,,,Tannerella,Tannerella forsythia_A,0.0040565063463496,RF,Riboflavin,C00255,Tannerella forsythia_A,False
hansenii,Blautia hansenii,35.71428571428569,Other,Blautia,,,,,Riboflavin,C00255,Blautia hansenii,False
hypermegale,Megamonas hypermegale,17.543878870807607,Other,Megamonas,,,,,Riboflavin,C00255,Megamonas hypermegale,False
intestinavium,,,,,Scatomorpha,Scatomorpha intestinavium,0.0052240335293315,RF,Riboflavin,C00255,Scatomorpha intestinavium,False
intestinihominis,,,,,Christensenella,Christensenella intestinihominis,0.0044114788058347,RF,Riboflavin,C00255,Christensenella intestinihominis,False
medium,Treponema medium,0.13653986613596497,Other,Treponema,,,,,Riboflavin,C00255,Treponema medium,False
plebeius_A,,,,,Phocaeicola,Phocaeicola plebeius_A,0.0045878960582242,RF,Riboflavin,C00255,Phocaeicola plebeius_A,False
prausnitzii,Faecalibacterium prausnitzii,68.61476106835,Other,Faecalibacterium,,,,,Riboflavin,C00255,Faecalibacterium prausnitzii,False
sp000235465,,,,,Fusobacterium,Fusobacterium sp000235465,0.0238521137195346,RF,Riboflavin,C00255,Fusobacterium sp000235465,False
sp000434475,,,,,Dialister,Dialister sp000434475,0.0064022111621318,RF,Riboflavin,C00255,Dialister sp000434475,False
sp000434975,,,,,Prevotella,Prevotella sp000434975,0.0044906593267446,RF,Riboflavin,C00255,Prevotella sp000434975,False
sp000686145,,,,,Romboutsia_D,Romboutsia_D sp000686145,0.0365324108458801,RF,Riboflavin,C00255,Romboutsia_D sp000686145,False
sp000799075,,,,,Cetobacterium_A,Cetobacterium_A sp000799075,0.005249245920761,RF,Riboflavin,C00255,Cetobacterium_A sp000799075,False
sp003458715,,,,,Holdemanella,Holdemanella sp003458715,0.0066906778041763,RF,Riboflavin,C00255,Holdemanella sp003458715,False
sp017590215,,,,,CCUG-7971,CCUG-7971 sp017590215,0.0484440704887447,RF,Riboflavin,C00255,CCUG-7971 sp017590215,False
sp900539095,,,,,Ruminococcus_D,Ruminococcus_D sp900539095,0.0073735283268839,RF,Riboflavin,C00255,Ruminococcus_D sp900539095,False
sp900540355,,,,,Intestinibacter,Intestinibacter sp900540355,0.0062573963689078,RF,Riboflavin,C00255,Intestinibacter sp900540355,True
sp900557035,,,,,Prevotella,Prevotella sp900557035,0.0052423726791613,RF,Riboflavin,C00255,Prevotella sp900557035,False
sp905214315,,,,,UMGS1322,UMGS1322 sp905214315,0.0106612867241064,RF,Riboflavin,C00255,UMGS1322 sp905214315,False
stercoris,,,,,Bacteroides,Bacteroides stercoris,0.0083665821759446,RF,Riboflavin,C00255,Bacteroides stercoris,False
subflava,,,,,Neisseria,Neisseria subflava,0.0048035669796686,RF,Riboflavin,C00255,Neisseria subflava,False
timonensis,,,,,Raoultibacter,Raoultibacter timonensis,0.0052645051864543,RF,Riboflavin,C00255,Raoultibacter timonensis,False
weinsteinii,,,,,Romboutsia_A,Romboutsia_A weinsteinii,0.0125898606579787,RF,Riboflavin,C00255,Romboutsia_A weinsteinii,False
albertii,Escherichia albertii,63.17302622683624,Other,Escherichia,,,,,Glucose-6-Phosphate,C00092,Escherichia albertii,False
asburiae,Enterobacter asburiae,27.262524971734354,Other,Enterobacter,,,,,Glucose-6-Phosphate,C00092,Enterobacter asburiae,False
cloacae,Enterobacter cloacae,30.391839657924006,Other,Enterobacter,,,,,Glucose-6-Phosphate,C00092,Enterobacter cloacae,False
copri_A,,,,,Prevotella,Prevotella copri_A,0.0326544522027675,LightGBM,Glucose-6-Phosphate,C00092,Prevotella copri_A,False
