met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Aspartate,asp_L,wadsworthia,Amino Acid,Healthy,67.69584037876068,24.331678101149286,7,Bilophila wadsworthia,False,True
Hydrogen Sulfide,h2s,bifidum,Other,Healthy,66.70565248386795,40.21612345231982,9,Bifidobacterium bifidum,False,True
Phosphate,pi,intestinihominis,Other,Healthy,66.22877161633699,37.14652730384382,23,intestinihominis,True,False
Acetate,ac,prausnitzii,SCFA,Healthy,65.37328501130757,52.570830996179225,3,Faecalibacterium prausnitzii,True,False
Adenosine,adn,faecis,Other,Healthy,64.65966901790446,20.109264864004114,4,faecis,False,True
Guanosine,gsn,faecis,Other,Healthy,63.73120648749747,26.56258887660522,8,faecis,False,True
Deoxycytidine,dcyt,faecis,Other,Healthy,63.59005595230718,38.588810296175396,6,faecis,False,True
Ammonium,nh4,intestini,Other,Healthy,63.389637693506,39.383032414971495,4,intestini,True,False
Acetate,ac,bifidum,SCFA,Healthy,62.11499491864568,1.2759841121875708,2,Bifidobacterium bifidum,False,True
Glutamine,gln_L,onderdonkii,Amino Acid,Healthy,61.98744477950093,31.18344046009423,42,Alistipes onderdonkii,True,False
Histidine,his_L,inulinivorans,Other,Healthy,61.91959261863648,39.9513890231183,3,Roseburia inulinivorans,True,False
Succinate,succ,faecis,Other,Healthy,61.83056887356822,31.592195507416935,21,faecis,False,True
Propionate,ppa,faecis,SCFA,Healthy,61.73665054441553,28.595033415815063,3,faecis,False,True
Water,h2o,prausnitzii,Other,Healthy,61.45325258813377,43.0334048006996,3,Faecalibacterium prausnitzii,True,False
Proton,h,faecis,Other,Healthy,61.32869332998806,32.92850784407539,6,faecis,False,True
Ammonium,nh4,faecis,Other,Healthy,61.126635125230834,27.380957269330917,19,faecis,False,True
